unique_id,tracking_code,borough,borough_code,cd,commdist,cb_label,type_br,type,priority,need,request,explanation,location,site_name,address,street_name,street_cross_1,street_cross_2,supporters_1,supporters_2,parent_tracking_code,agency_acronym,agency,agency_category_response,agency_response,geo_function,geom
101,104202402C,Bronx,2,04,204,BX 04,C, ,02,Health care facilities,Provide a new or expanded health care facility,"CD 4 residents continue to face numerous health challenges that have persisted for decades and have been exacerbated by the COVID-19 pandemic. Many of these issues exist due to a lack of access to consistent, quality health services. The City could enter into a public/private partnership with BronxCare or another established healthcare provider to ensure medical and social services are accessible to residents in areas in which there is a dearth of such services, or where other barriers exist, such as Highbridge. Leveraging expanded use of techonolgy to facilitate telemedicine visits can lessen the barriers often associated with accessing care.",,,,,,,Jerome Avenue Neighborhood Health Plan,,,HHC,819,7,More information is needed from the community board before making a funding decision. The community board should contact the agency.,NO LOCATION DATA,
110,104202406E,Bronx,2,04,204,BX 04,E,site,06,Community board facilities and staff,"Hire additional staff to address specific crimes (e.g. drug, gang-related, vice, etc.)","The increase in violent crime continues and quality of life continues on a downward spiral as sidewalk parties, booming music from life-size speakers continued loitering have become the norm.  We urge the city to deploy more resources to make our city streets safe once again and improve our Quality of Life.",,,,,,,,NY Times Article,,NYPD,56,5,NYPD's total uniformed staffing levels depend on decisions made in the Preliminary and Executive Budget process.  Allocation of uniformed personnel is scheduled by the agency only after graduation of police classes from the Academy.,NO LOCATION DATA,
104,104202403E,Bronx,2,04,204,BX 04,E,site,03,"Park, buildings, and access improvements","Create or promote programs for education and awareness on preventing chronic diseases including quitting smoking, nutrition, physical activity, etc.","Since nearly forty percent of our population is under the age of 25, it is important to underscore the importance of nutrition, healthy eating and physical activity. We request that DOHMH increase outreach and education related to food and nutrition, targeting middle schools and working with community-based organizations with youth programs and active tenant associations. Wellness in the Schools (WITS) is a successful program providing food nutrition education in school settings and should be considered as a model. Online fitness classes/videos to promote health and wellness  should be leveraged to maximize audience reach. The agency should also partner with the Parks Department to expand programming that facilitates the use of parks and outdoor spaces to promote healthy lifestyles.",,,,,,,,,,DOHMH,816,3,DOHMH is committed to helping New Yorkers live healthier lives. We plan to continue our hard-hitting public service messages. Our Bronx District Public Health Office would be pleased to discuss additional presentations that your community is interested in.,NO LOCATION DATA,
106,104202404E,Bronx,2,04,204,BX 04,E, ,04,Youth workforce development,"Provide, expand, or enhance the Summer Youth Employment Program","Providing positive reinforcement to our youth is important and Summer Youth Employment is desperately needed particularly in a District with a meager Area Median Income ($29,000) and nearly thirty-five percent of the population living at the poverty level.  DYCD should continue to increase funding for the Summer Youth Employment Program (SYEP) and make it year round.  DYCD should also work with local organizations and the Bronx Borough President's office to create additional work places to host youth for the summer and continue to expand the program to year round.",,,,,,,,,,DYCD,260,9,DYCD has increased funding in this service area.,NO LOCATION DATA,
108,104202405E,Bronx,2,04,204,BX 04,E, ,05,Affordable housing programs,Provide or enhance rental subsidies programs,The city should work with local non-profits to create an awareness campaign so that renters impacted by the pandemic are aware of the funding sources available to assist.,,,,,,,,,,HPD,806,6,HPD does not administer this program.,NO LOCATION DATA,
111,104202407C,Bronx,2,04,204,BX 04,C, ,07,Zoning and land use,Other capital budget request for SBS,"A Workforce One Center or an equivalent is still needed in our district, but its offerings should engage many sectors (not just the auto-industry) affected by the pandemic; the service and food/beverage industries were hit particularly hard  during the pandemic. The center would bridge the gap between the existing centers with a focus specifically on local needs: large immigrant population (Latino and West African) and the auto-industry for example.  This request could be accommodated on any number of city-owned sites in the district (SEE Housing & Land Use) or city-funded project like Bronx Point.",,,,,,,Council Member Vanessa Gibson,,,SBS,801,7,The agency will accommodate this issue within existing resources.,NO LOCATION DATA,
112,104202407E,Bronx,2,04,204,BX 04,E, ,07,Direct business services,Study land use and zoning to better match current uses or neighborhood character,"The ULI Technical Assistance Panel (TAP) conducted in October 2019, made a number  of recommendations that would improve existing conditions in the district. While, not endorsing a soccer stadium, the Board likes the recommendations and implementation strategies outlined in the report and urges the city to leverage the TAP as a guide for future development of the area. In particular we would like the city to conduct a parking study which would include an analysis of on-street parking throughout district as well as utilization for all garages along the Harlem River and near Yankee Stadium with the ultimate goal to launch a pilot program for on-street parking permits for area residents.  (REPORT ATTACHED)",,,,,,,Bx CB4 TAP Neighborhood-Focused Strategies for Future Growth,,,DCP,30,6,DCP will continue discussions with the Board and community stakeholders regarding the concerns addressed in this request.,NO LOCATION DATA,
129,104202416C,Bronx,2,04,204,BX 04,C, ,16,Transportation infrastructure,Repair or build new step streets,We request a rehabilitation and reconstruction  of the step street at Shakespeare and Anderson Avenue (167thStreet.),,,,,,,,,,DOT,841,5,"Capital funding constraints, project capacity and City-wide priorities preclude this project at this time.",NO LOCATION DATA,
113,104202408C,Bronx,2,04,204,BX 04,C, ,08,Economic development programs,New equipment for maintenance,"Vehicles to replace aging fleet.  The Parks Department relies on vehicles that are constantly out of service and over five years old. Parks also needs to service larger parks with smaller, safer, and more efficient small utility vehicles.",,,,,,,,,,DPR,846,5,Parks Department funds are insufficient for this purpose. We recommend this request be brought to the attention of your Council Members.,NO LOCATION DATA,
116,104202409E,Bronx,2,04,204,BX 04,E, ,09,Educational programs,"Provide, expand, or enhance rental assistance programs/vouchers for permanent housing","The City continues to grapple with homelessness. According to the Coalition for the Homeless, there are nearly 50,000 people sleeping each night in the New York City municipal shelter system. Families make up nearly three-quarters of that population which includes 14,000 children. We request that the City ramp up its efforts to permanently house families and individuals living in the shelter system and increase access to voucher programs. HPD should increase the set aside for formerly homeless (currently 10%). Organizations such as Neighborhood Association for Inter-Cultural Affairs (NAICA) have demonstrated success in serving people in transitional housing and supporting their successful transition to permanent housing.  This model should be expanded and replicated.",,,,,,,,,,HRA,96,9,Homelessness prevention is one of the Agency's priorities. Funds have been allocated in the budget for these services.,NO LOCATION DATA,
117,104202410C,Bronx,2,04,204,BX 04,C, ,10,Garbage collection and recycling infrastructure,Other garbage collection and recycling infrastructure requests,"There has been an increase in the number of rats citywide.  One of the challenges is keeping them out of trash and not creating environments they are inclined to inhabit.  The City has created the Clean Curbs Program which allows private property owners to apply for sealed, rodent-proof containers on City property for non-DSNY collection. We respectfully request that this program be piloted in the following locations: 161st Street Corridor (161st Street BID), Mount Eden Mall (Bronx Care Hospital) and 167th Street Commercial Corridor.   https://www.nytimes.com/2022/08/06/nyregion/new-york-city-garbage-containers.html",,,,,,,ARTICLE,,,DSNY,827,8,DSNY will evaluate this request.,NO LOCATION DATA,
118,104202410E,Bronx,2,04,204,BX 04,E, ,10,Economic development programs,Other expense budget request for EDC,"In June 2021, the Board was scheduled to vote on a plan for the Yankee Stadium Parking lots.  While that vote was tabled due to issues related to the terms of the agreement, the Board issued specific ideas on how the ""Balance"" and ""Severance"" lease lots could be better utilized in the future other than seasonal ball game and event parking. (SEE ATTACHED)  These are not finalized, however the Board spent a great deal of time and effort crafting these and they represent a solid framework for the the City, NYCEDC and the private sector to consider changes to zoning and land use as well as redevelopment of the parking lots.",,,,,,,,,,EDC,802,8,Further study by the agency of this request is needed.,NO LOCATION DATA,
119,104202411C,Bronx,2,04,204,BX 04,C, ,11,Affordable housing programs,Repair or build new step streets,"We request upgrades of the 168 Street Step Street (Shakespeare & Edward L Grant Highway.) Including new handrails, lighting and landings.",,,,,,,,,,DOT,841,5,"Capital funding constraints, project capacity and City-wide priorities preclude this project at this time.",NO LOCATION DATA,
120,104202411E,Bronx,2,04,204,BX 04,E, ,11,Transportation infrastructure,Other affordable housing programs requests,Development of cooperative-owned housing units in addition to affordable rental housing: HPD should allocate housing subsidy to facilitate affordable owner-occupied housing opportunities in newly constructed buildings in addition to rental housing. Home ownership creates neighborhood stability and reinforces community.,,,,,,,,,,HPD,806,1,The agency will accommodate this issue within existing resources.,NO LOCATION DATA,
122,104202412E,Bronx,2,04,204,BX 04,E,site,12,"Park, buildings, and access improvements",Other workforce development requests,"SBS, EDC and HPD should continue to support and collaborate with the Jerome Avenue Revitalization Collaborative (JARC) to create economic development opportunities for area residents and small businesses. In particular working with JARC steering committee members to deploy services and programming to area small businesses.",,,,,,,,,,SBS,801,7,The agency will accommodate this issue within existing resources.,NO LOCATION DATA,
154,109202404E,Bronx,2,09,209,BX 09,E, ,04,Educational programs,"Improve bus cleanliness, safety or maintenance","We have received many complaints of the buses not being clean. Also received complaints that the cloth chairs are unsanitary. Moreover, the buses on the BX05 are old buses.",,,,,,,Assemblyman Marcos Crespo,Senator Ruben Diaz Sr.,,NYCTA,998,10,More information is needed from the community board before making a funding decision. The community board should contact the agency.,NO LOCATION DATA,
121,104202412C,Bronx,2,04,204,BX 04,C, ,12,Workforce development,Reconstruct or upgrade a building in a park,Claremont Park-Reconstruct/renovate both comfort stations,Site Name: Claremont Park,Claremont Park,,,,,,,,DPR,846,5,Parks Department funds are insufficient for this purpose. We recommend this request be brought to the attention of your Council Members.,geosupport_1B_place,0104000020E6100000010000000101000000971FB8CA137A52C0F6B4C35F936B4440
131,104202417C,Bronx,2,04,204,BX 04,C, ,17,Services for the homeless,"Improve access to a park or amenity (i.e. playground, outdoor athletic field)",Add a barrier to protect patrons from highway at Summit Park.,Site Name: Summit Park,Summit Park,,,,,,,,DPR,846,8,Further study by the agency of this request is needed.,GEOCODING FAILED,
147,105202428E,Bronx,2,05,205,BX 05,E,general,28,Park maintenance and safety,Other expense budget request for DYCD,"There is a dearth of programming for youth of all ages.  We need further resources for anti-gang/violence programs, especially trying to combat youth against the elderly crime prevention.",,,,,,,Mount Hope Organization,46th Precinct Community Council,,DYCD,260,4,"Presently, there are a variety of agency-funded programs in the district for this target population.  Additional programs are contingent upon available funding and will be distributed through an RFP process.  Organizations are encouraged to apply.",NO LOCATION DATA,
148,106202402C,Bronx,2,06,206,BX 06,C,general,02,Park maintenance and safety,Provide a new or expand an existing middle/intermediate school,We ask that an additional middle school is constructed to account for the new housing construction planned for CB6 and the over-utilization of charter schools in School District 12 (176% according to SCA's 2017-18 report).,,,,,,,,,,DOE,40,2,Limited seat need has been identified in the area specified. Location for a school will be based on site availability.,NO LOCATION DATA,
150,106202403C,Bronx,2,06,206,BX 06,C, ,03,Direct business services,Renovate or upgrade a senior center,"The Mt. Carmel Senior Center is in dire need of capital investment to facilitate use of their upstairs area. The facility also needs support in paying rent, a new cost for the agency at this site.",,,,,,,,,,DFTA,125,8,Further study by the agency of this request is needed.,NO LOCATION DATA,
124,104202413E,Bronx,2,04,204,BX 04,E,site,13,"Park, buildings, and access improvements","Create or promote programs for education and awareness on preventing chronic diseases including quitting smoking, nutrition, physical activity, etc.","We must take action to reduce obesity and diabetes among area residents. We support programs such as the DOHMH's Shop Healthy Initiative to bring healthier foods to local stores. Expansion of the FRESH program, which offers benefits to supermarket owners to provide a certain level of affordable fresh produce, would help address the lack of access to healthy food options. More frequent farmers markets would provide residents with access to affordable fresh produce. Lastly, recognizing that poor nutritional habits are often a result of other factors, such as stress, incorporating mental health education and coping techniques with nutrition education can prove beneficial in a variety of ways.",,,,,,,,,,DOHMH,816,3,DOHMH is committed to helping New Yorkers live healthier lives and plans to contiue funding for obesity and physical activity programming contingent upon available resources.,NO LOCATION DATA,
126,104202414E,Bronx,2,04,204,BX 04,E,street,14,"Park, buildings, and access improvements",Increase enforcement of dirty sidewalk/dirty area/failure to clean area laws,"This should be concentrated along commercial corridors (East 167th Street, Ogden Avenue, East 170th Street and 161st Street area.) and other high traffic locations within the district.",,,,,,,,,,DSNY,827,1,This program is currently funded and the Department of Sanitation recommends its continued support.,NO LOCATION DATA,
128,104202415E,Bronx,2,04,204,BX 04,E,site,15,"Park, buildings, and access improvements",Provide better park maintenance,"In order to properly maintain the 7,096 acres of parkland in the Bronx, Parks seeks additional staffing. We are requesting additional permanent City Park Workers who clean and cut grass in the parks on a regular basis. It would also allow Parks to staff more sites regularly with ?fixed post? employees as opposed to the use of mobile crews to service certain sites. We believe that where possible, a dedicated presence of on-site maintenance staff can allow for more ?caring? and detailed maintenance of the park. We are also in need of more Associate Park Service Workers, who haul away trash, drive large vehicles and lead crews in the field. In addition, seasonal staff augments the fulltime staff during peak season and are essential to the level of maintenance needed.",,,,,,,,,,DPR,846,5,The Parks Department would support this request for personnel.,NO LOCATION DATA,
130,104202416E,Bronx,2,04,204,BX 04,E, ,16,"Library facilities, equipment and programs (NYPL)",Other expense budget request for NYPL,"NYPL is focused on bolstering program services across branches to restore and exceed pre-pandemic patron engagement levels. By prioritizing youth and education with an emphasis on teens, the Library aims to lessen disparities brought about by the COVID-19 pandemic, which disproportionately  impacted school-age children.  Over the last  year, the Library has made investments in teen centers. This also includes supporting educators through the Center for Educators (CES), which provides educators with resources for lessons, projects, and other activities. We are also committed to expanding  adult services that provide professional development and skills training.",,,,,,,,,,NYPL,37,3,NYPL is in favor of this project but added or restored City funding is required for all expense budget costs and any needed capital costs.  NYPL will continue to work through the City's budget process for needed funding. Contact NYPL for more information.,NO LOCATION DATA,
132,104202417E,Bronx,2,04,204,BX 04,E,site,17,"Park, buildings, and access improvements",Expand street outreach,"HOMESTAT should receive additional funding and be expanded to address street homelessness. Additionally, many people experiencing street homelessness choose to not go to shelters because of the harsh and unsafe conditions at those facilities. Conditions must be improved to provide temporary shelter to those in need and help them get on track to find stable, permanent housing. Enhanced security measures, including DHS police officers, and mental health support services focused on eliminating violent and destructive behaviors should be a priority.",,,,,,,,,,DHS,71,8,"Street outreach services are available 24/7, 365 days a year. By calling 311 or using the 311 app when a homeless individual appears to be in need of assistance, any New Yorker can dispatch an outreach team to that person and help them move indoors. Funding for street outreach has more than doubled in recent years.",NO LOCATION DATA,
134,104202418E,Bronx,2,04,204,BX 04,E,site,18,"Park, buildings, and access improvements","Provide, expand, or enhance after school programs for middle school students (grades 6-8)","Community District Four's many working families and single-parent households require no-cost after-school care. Free after-school care allows parents to work and maintain employment, keeps children safe, and enhances children's educational attainment. It also allows families to use scarce financial resources on other pressing needs. Accordingly, we request that DYCD increase funding at existing organizations district-wide to provide after school programs. They should also partner with local schools to provide additional funding to site after schools programs.  We also encourage the agency to find ways to employ youth constructively on a year-round basis.",,,,,,,,,,DYCD,260,9,DYCD has increased funding in this service area.,NO LOCATION DATA,
133,104202418C,Bronx,2,04,204,BX 04,C, ,18,After school programs,"Other requests for park, building, or access improvements","Active development of a contiguous path joining the bike/run waterfront paths along Mill Pond Park (in Bronx CB4) to Roberto Clemente State Park (Bronx CB5) which also has a segment of a new bike/running path along the waterfront that ends at a chain linked fence separating the park land from property belonging to the Metro North/MTA train car cleaning facilities at the parks southern border. Using the precedent of the Riverbank Park in Manhattan, a similar greenway can be developed along the perimeter of the MTA's Bronx facility.",Site Name: Mill Pond Park,Mill Pond Park,,,,,,,,DPR,846,5,Parks Department funds are insufficient for this purpose. We recommend this request be brought to the attention of your Council Members.,geosupport_1B_place,0104000020E6100000010000000101000000E3FE23D3A17B52C041D47D0052694440
139,105202403E,Bronx,2,05,205,BX 05,E, ,03,Transit Service,"Extend library hours, expand library programs, and enhance library collections (NYPL)","New York Public Library Request the City Restore Funding.  The New York Public Library requests that the City restore funding to provide robust six day service including increased hours, diverse programming, strong collections and sufficient staff to support these functions. in these challenging economic times, the services provided through the Library are needed by New Yorkers more than ever.",,,,,,,Friends of the Woods,,,NYPL,37,3,NYPL is in favor of this project but added or restored City funding is required for all expense budget costs and any needed capital costs.  NYPL will continue to work through the City's budget process for needed funding. Contact NYPL for more information.,NO LOCATION DATA,
140,105202404C,Bronx,2,05,205,BX 05,C, ,04,"Park, buildings, and access improvements",Repair or build new step streets,Reconstruct Step Streets from Palisades Place to Sedgwick Avenue. Step Streets are important access points. These are in extremely dangerous condition which must be addressed promptly.,Street Name: Palisades Place    Cross Street 1: Sedgwick Avenue  Cross Street 2: Sedgwick Avenue,,Palisades Place,Palisades Place,Sedgwick Avenue,Sedgwick Avenue,,,,DOT,841,5,"Capital funding constraints, project capacity and City-wide priorities preclude this project at this time.",GEOCODING FAILED,
141,105202404E,Bronx,2,05,205,BX 05,E, ,04,Mental health programs,Enhance park safety through more security staff (police or parks enforcement),Hire Parks Enforcement Police Officers for Bronx Parks.  Our parks are becoming increasingly dangerous and are often unattended/un-patrolled by NYPD. Many parks are becoming havens for drug dealers.,,,,,,,Community Board #5,,,DPR,846,5,The Parks Department would support this request for personnel.,NO LOCATION DATA,
142,105202415E,Bronx,2,05,205,BX 05,E,site,15,"Park, buildings, and access improvements",Expand funding for fire prevention and life safety initiatives,Funding fire safety education outreach. The fire department needs to purchase smoke detectors and carbon monoxide detectors for distributing to the public.,,,,,,,Burnside Avenue Shopping Steering Committee,,,FDNY,57,4,The FDNY Foundation provides funds to assist the Department in meeting these needs.,NO LOCATION DATA,
144,105202416E,Bronx,2,05,205,BX 05,E, ,16,"Park, buildings, and access improvements",Enhance educational and recreational programs,"Community Board #5 is Requesting funding for Stay Well exercising programs for seniors who are fit and for those with disabilities. Seniors are in dire need of Aerobic exercise as well as routines designed to enhance balance, build muscle strength and aid in the performance o task associated with daily living.",,,,,,,,,,DFTA,125,3,Approval of this request depends on sufficient Federal/State funds.,NO LOCATION DATA,
151,106202415E,Bronx,2,06,206,BX 06,E, ,15,Affordable housing programs,"Evaluate a street segment or intersection for green infrastructure, e.g. rain gardens, stormwater greenstreets, and plan for construction if feasible","The intersection of East Tremont, Devoe, and E 177 is prone to frequent flooding. We request DEP examine remediation for future flooding at this site.",,,,,,,,,,DEP,826,7,More information is needed from the community board before making a funding decision. The community board should contact the agency.,NO LOCATION DATA,
152,106202416E,Bronx,2,06,206,BX 06,E, ,16,Garbage collection and recycling,Conduct traffic or parking studies,We request DOT study the effects on regional traffic resulting from its Fordham Road bus redesign proposals.,,,,,,,,,,DOT,841,7,Please contact the Borough Commissioner's office to discuss this request.,NO LOCATION DATA,
369,108202410E,Bronx,2,08,208,BX 08,E, ,10,Educational programs,Other expense budget request,"DOHMH/DSNY ? Funding for Rat Mitigation: Increase in funding for rat inspections, mitigation tools and rat academy for CB8 affected neighborhoods",,,,,,,,,,DOHMH,816,3,The agency will accommodate this issue within existing resources.,NO LOCATION DATA,
153,106202417E,Bronx,2,06,206,BX 06,E, ,17,Educational programs,Expand street outreach,"Homelessness elicits a variety of different responses that incite the need for specific forms of care. More needs to be put towards locating, engaging with, and encouraging individuals to accept care services and transition off the streets.",,,,,,,,,,DHS,71,1,"DHS funds street outreach services in all five boroughs. In addition to services available through DHS, DYCD also funds programs focused on runaway and homeless youth. To learn more about these services, please contact DHS or DYCD.",NO LOCATION DATA,
3576,414202416C,Queens,4,14,414,QN 14,C, ,16,Park programming,Other transportation infrastructure requests,Replace sidewalks along South side of Rockaway Point blvd from Beach 169-193 streets- pedestrians walking in street must be replaced,,,,,,,,,,DOT,841,6,Sidewalks are the responsibility of the adjacent property owner.,NO LOCATION DATA,
158,104202420C,Bronx,2,04,204,BX 04,C, ,20,Services for the homeless,Repair or build new step streets,We request a rehabilitation and reconstruction  of the Carroll Place step street (165 Street to 166 Street).  We also request that CDOT and DSNY collaborate on a comprehensive maintenance and clean up program for all step streets.,,,,,,,,,,DOT,841,5,"Capital funding constraints, project capacity and City-wide priorities preclude this project at this time.",NO LOCATION DATA,
159,104202420E,Bronx,2,04,204,BX 04,E, ,20,Educational programs,Other expense budget request for DYCD,Trades can provide an excellent career path for those who do not want to attend a two or four year college. Partnering with local unions on apprenticeship programs  can provide exceptional opportunities for our young men and women.,,,,,,,,,,DYCD,260,4,This service area is incorporated into existing programs.,NO LOCATION DATA,
160,104202421C,Bronx,2,04,204,BX 04,C, ,21,Youth workforce development,"Improve access to a park or amenity (i.e. playground, outdoor athletic field)",Inwood Park - Asphalt and painting,,,,,,,,,,DPR,846,5,Parks Department funds are insufficient for this purpose. We recommend this request be brought to the attention of your Council Members.,NO LOCATION DATA,
161,104202421E,Bronx,2,04,204,BX 04,E, ,21,After school programs,Provide a new bus service or Select Bus Service,Explore the possibility of a Select BX19 and Select BX1 to accommodate the continued growth along the Grand Concourse and along the 149th Street corridor.,,,,,,,,,,NYCTA,998,10,More information is needed from the community board before making a funding decision. The community board should contact the agency.,NO LOCATION DATA,
1682,217202406C,Brooklyn,3,17,317,BK 17,C,street,06,Garbage collection and recycling infrastructure,"Provide new emergency vehicles, such as fire trucks or ambulances",This pilot program needs to be expanded to other districts. Fly Cars are equipped with advanced life support equipment and responds faster than other emergency vehicles.,,,,,,,,,,FDNY,57,8,Further study by the agency of this request is needed.,NO LOCATION DATA,
172,104202427C,Bronx,2,04,204,BX 04,C,site,CS,"Park, buildings, and access improvements",Other capital budget request for HPD,Development of cooperative-owned housing units in addition to affordable rental housing.  HPD should allocate housing subsidy to facilitate affordable owner-occupied housing opportunities in newly constructed buildings in addition to rental housing,,,,,,,,,,HPD,806,1,The agency will accommodate this issue within existing resources.,NO LOCATION DATA,
163,104202422E,Bronx,2,04,204,BX 04,E, ,22,Workforce development,Create or promote programs to de-stigmatize mental health needs and encourage treatment,"We have a number of facilities throughout the district for formerly homeless individuals and families. Many of these are individuals with a history of mental illness. While we do not advocate for any additional facilities of this type in our district, we do want to ensure that the individuals that are here receive proper care. DOHMH should work with DHS to identify these facilities and target those that would benefit from additional programming and/or services. Organizations such as Neighborhood Association for Inter-Cultural Affairs (NAICA) have demonstrated success in serving people in transitional housing and supporting them for up to one year following their move to permanent housing to ensure a successful transition. Such a model should be explored for expansion and replication.",,,,,,,,,,DOHMH,816,9,DOHMH contracts with and oversees a wide variety of mental health and substance abuse services throughout NYC.  Feel free to contact the Department with specific questions about services.,NO LOCATION DATA,
164,104202423C,Bronx,2,04,204,BX 04,C, ,23,Cultural facilities and resources,Other capital budget request for DPR,We request a rehabilitation and reconstruction  of the step street on Jerome Avenue near Anderson (behind PS 73).,,,,,,,,,,DPR,846,5,Parks Department funds are insufficient for this purpose. We recommend this request be brought to the attention of your Council Members.,NO LOCATION DATA,
287,107202402C,Bronx,2,07,207,BX 07,C, ,02,Zoning and land use,Provide a new or expand an existing elementary school,Eleven out of our fourteen grade schools are overcrowded. Our community is experiencing a large increase in residential development with thousands of planned housing units across the district.,,,,,,,,,,DOE,40,9,Community District is located in a School District with identified seat need.  Location for school will be based on site and funding availability.,NO LOCATION DATA,
165,104202423E,Bronx,2,04,204,BX 04,E, ,23,Schools and educational facilities,"Provide, expand, or enhance job training","Unemployment is a key contributor to poor health outcomes of local residents. While unemployment both nationally and in NYC has leveled off, the Bronx, and to a greater extent, CD4 continues to suffer. Job loss combined with budget deficits will require creative long-term solutions to unemployment. We advocate for HRA to work with SBS, the Jerome Avenue Revitalization Collaborative (JARC), and community-based organizations to create more employment opportunities (training and job placement) for area residents. The city should also work with the Prisoner Re-entry Program to eliminate barriers to obtaining employment. Specific attention should be given to developing a healthcare workforce that is culturally competent  workforce including Community Health Workers and home health aides.",,,,,,,,,,HRA,96,9,"HRA's Career Services provides services to clients to assist them in developing job skills, obtaining employment, financial counseling and building sustainable careers that provide a path out of poverty.",NO LOCATION DATA,
168,104202425C,Bronx,2,04,204,BX 04,C, ,CS,Affordable housing programs,Provide a new or expand an existing middle/intermediate school,"The Jerome Avenue Neighborhood Plan calls for construction of a new 458-seat primary school with a state-of-the art gym.  CSD 7 is currently operating near capacity .  As part of the Lower Concourse North project the city has agreed to construct a new 572 seat middle school.  SCA has released its 2020-2024, likely resulting in additional deficits and capacity issues.  We respectfully request siting and funding to address seat deficits in the next SCA capital plan.",,,,,,,,,,DOE,40,6,Seat need for this district and as identified in the Capital Plan has been sited.,NO LOCATION DATA,
169,104202425E,Bronx,2,04,204,BX 04,E,street,25,Transportation infrastructure,Increase transportation services capacity,"In the fall of 2021, DFTA began piloting a transportation program called ""My Ride"" in several community districts, including CD 4. The model seems to be beneficial to all who avail themselves of the service. CD 4 requests an update on the current status of the pilot and serious consideration to expand it further.",,,,,,,,,,DFTA,125,3,"The agency recommends funding this expense budget request in FY 2024, but at this time the availability of funds is uncertain.",NO LOCATION DATA,
170,104202426C,Bronx,2,04,204,BX 04,C, ,CS,Transportation infrastructure,Provide new facilities such as a firehouse or EMS station,The Community Board approved site design and voted in support of the ULURP application for the design and construction of the new EMS Station on Morris Avenue. We want to underscore our support for this project and request that once the new facility is operational that the city engage the Community in a substantive conversation about the use of the site. We advocate for a new community center on the site focused on youth.,,,,,,,CM Diana Ayala,Community Board Four,,FDNY,57,7,This request includes more than one proposal.  Funding for part is recommended.,NO LOCATION DATA,
171,104202426E,Bronx,2,04,204,BX 04,E,site,26,"Library facilities, equipment and programs (NYPL)",Provide better park maintenance,"Additional Playground Associates.  Playground Associates are one of the best kept secrets during the summer months. Children can go to their neighborhood playground and have structured activities five days per week during the summer  months  when they are  not in school.  As we sorely lack, recreational and community centers, Thirty-Six  (36) additional  Playground Associates are requested for the entire borough.",,,,,,,,,,DPR,846,5,The Parks Department would support this request for personnel.,NO LOCATION DATA,
173,104202427E,Bronx,2,04,204,BX 04,E,site,27,"Park, buildings, and access improvements",Provide better park maintenance,"Recreation Specialists for Recreation Centers  Our Recreation Centers are centers of culture, programming, fitness, and inclusion. They host great programming, summer camps, workout classes, and they are a place for children and adults to feel safe. Twelve (12)  Recreation Specialists are requested to  increase programming   in the centers.",,,,,,,,,,DPR,846,5,The Parks Department would support this request for personnel.,NO LOCATION DATA,
175,104202428E,Bronx,2,04,204,BX 04,E,site,28,"Park, buildings, and access improvements",Other commercial district revitalization requests,COVID-19 has taken its toll on small businesses.  Department of Small Business Services in collaboration with other city agencies (and/or through public/private partnership) should explore new innovative ideas to incubate and support small businesses.  The City of Toronto has a business incubator program where they have stalls or PODS  that small businesses can use rent free to create exposure and ultimately lead to a bricks and mortar location.  A program like this could be piloted as part of city-owned developments as part of the long-term lease agreement.,,,,,,,,,,SBS,801,8,Feedback will be used for future programs,NO LOCATION DATA,
181,104202433C,Bronx,2,04,204,BX 04,C,general,CS,"Library facilities, equipment and programs (NYPL)","Reconstruct or upgrade a park or amenity (i.e. playground, outdoor athletic field)",Goble Playground Replace playground equipment and repave/paint asphalt.,Site Name: Goble Playground,Goble Playground,,,,,,,,DPR,846,9,This project was funded in a prior fiscal year and the final design contract has been let.,geosupport_1B_place,0104000020E61000000100000001010000005EBBB4E1B07A52C006BD3786006C4440
176,104202429C,Bronx,2,04,204,BX 04,C,general,CS,After school programs,Reconstruct streets,"The entire 161 Street corridor should be resurfaced and is in need of major improvements.  Removal and resurfacing asphalt and brick.  The Board has complained about this for many years.  The redbrick and asphalt along the corridor is cracked and is in serious need of repair. In addition, the texture of the brick does not allow for safe travel during inclement weather because it becomes very slippery and slick.  The corridor sees increased vehicular and foot traffic with more tourism, filming and events. The resurfacing should focus on 161 and intersecting street segments from Macombs Dam Road to Park Avenue.",,,,,,,,,,DOT,841,3,"Funds are unavailable for this project.  We recommend this project be brought to the attention of your elected officials, i.e. Borough President, Council/Assemblymember, or State Senator.",NO LOCATION DATA,
2874,402202433E,Queens,4,02,402,QN 02,E, ,33,"Park, buildings, and access improvements",Provide more funds for teaching resources such as classroom material,Increase funding for purchase of new schools supplies needed for local schools.,,,,,,,,,,DOE,40,8,Contact the Community Board Unit at OMB for information regarding this request.,NO LOCATION DATA,
177,104202429E,Bronx,2,04,204,BX 04,E,site,29,NYPD facilities and equipment,Help minority- and women-owned businesses grow their capacity,MWBE's are critical to the long-term economic growth of the Borough.  The City should set specific targets each year for certifying new MWBE's in the Borough.  They should be prioritized by emerging sectors/markets.,,,,,,,,,,SBS,801,10,SBS is available to provide technical assistance. Please visit nyc.gov/SBS for more information.,NO LOCATION DATA,
