address,agency,bbl,bin,borough,bridgeid,category,description,mappable,maprojid,origin,parkid,parkname,zipcode
,DOC,,,,, Fixed Asset, REPLACE CHILLERS-AUTO TEMP CTRLS DEPT-WIDE                   ,No - Can never be mapped,072C75TEMP,unmapped,,,
17-17 Hazen St.,DOC,2026050040.0,,Bronx,, Fixed Asset, AIR CONDITION TRANSPORTATION GARAGE PARTS ROOM               ,Yes - Single Building,072C75TRANAC,unmapped,,,11370.0
17-19 Hazen St.,DOC,2026050040.0,,Bronx,, Fixed Asset, REPLACEMENT OF CO-GENERATION PLANT TURBINES                  ,Yes - Single Building,072C75TURB,unmapped,,,11370.0
1 Halleck St.,DOC,2027800073.0,,Bronx,, Fixed Asset, VCBC ROOF REPLACEMENT                                        ,Yes - Single Building,072C75VCROOF,unmapped,,,10474.0
,DOC,,,,,"ITT, Vehicles, and Equipment", Watch Tour System                                            ,No - Can never be mapped,072C75WATCH,unmapped,,,
,DOC,,,,, Fixed Asset, WINDOW REPLACEMENT AT MDC FY11 & VAR. FACILITIES IN OUTYRS   ,,072C75WINDOW,unmapped,,,
,DOC,,,,, Fixed Asset, NEW JAIL FACILITIES                                          ,No - Can be in future,072C11421STC,unmapped,,,
,DOC,,,,, Fixed Asset, Construction of a New Training Academy                       ,No - Can be in future,072C114ACADY,unmapped,,,
,DOC,,,,,"ITT, Vehicles, and Equipment", CITY TIME EXPANSION FOR DOC UNIFORMED FORCE                  ,No - Can never be mapped,072C117CITY,unmapped,,,
18-18 Hazen St.,DOC,2026050040.0,,Bronx,, Fixed Asset, AMKC HEATING REPLACEMENT BUILDINGS 3 & 4                     ,Yes - Single Building,072C75AMKCHT,unmapped,,,11370.0
18-18 Hazen St.,DOC,2026050040.0,,Bronx,, Fixed Asset, AMKC MENTAL HEALTH CLINIC RECONSTRUCTION                     ,Yes - Single Building,072C75AMKCMH,unmapped,,,11370.0
18-18 Hazen St.,DOC,2026050040.0,,Bronx,, Fixed Asset, AMKC ROOF REPLACEMENT                                        ,Yes - Single Building,072C75AMKCRF,unmapped,,,11370.0
18-18 Hazen St.,DOC,2026050040.0,,Bronx,, Fixed Asset," AMKC WEST MOD 17, 18, 19 CONTROL ROOMS                       ",Yes - Single Building,072C75AMWCON,unmapped,,,11370.0
,DOC,,,,, Fixed Asset," REPLACEMENT DOMESTIC WATER BOOSTER PUMPS-MDC,BKDC,OBCC,GRVC  ",No - Can never be mapped,072C75DMWTR,unmapped,,,
,DOC,,,,,Lump Sum, ELEVATOR REHAB VARIOUS FACILITIES                            ,No - Can never be mapped,072C75-ELEV,unmapped,,,
18-18 Hazen St.,DOC,2026050040.0,,Bronx,, Fixed Asset, EMTC ROOF REPLACEMENT                                        ,Yes - Single Building,072C75EMROOF,unmapped,,,11370.0
,DOC,,,,,Lump Sum, MODIFICATION OF FACILITY ENTRIES                             ,No - Can never be mapped,072C75ENTRY,unmapped,,,
,DOC,,,,, Fixed Asset," EXTERIOR RECONSTRUCTION AMKC, RNDC, GMDC, GRVC, RMSC, OBCC   ",No - Can never be mapped,072C75EXTR,unmapped,,,
,DOC,,,,, Fixed Asset, FENCING RECONSTRUCTION                                       ,No - Can never be mapped,072C75FENCE1,unmapped,,,
,DOC,,,,, Fixed Asset, GANG CELL DOOR RELEASE                                       ,No - Can never be mapped,072C75-GCELL,unmapped,,,
15-00 Hazen St.,DOC,2026050040.0,,Bronx,, Fixed Asset, ROOF & FACADE RECONSTRUCTION FOR MAIN AND ANNEX              ,Yes - Single Building,072C75NICFAC,unmapped,,,11370.0
,DOC,,,,, Fixed Asset, SEWER PUMPS AND PLUMBING VARIOUS FACILITIES                  ,No - Can never be mapped,072C75-PLUMB,unmapped,,,
,DOC,,,,, Fixed Asset, Replace 5 and 27 KV Feeders                                  ,No - Can never be mapped,072C75POWRF,unmapped,,,
16-16 Hazen St.,DOC,2026050040.0,,Bronx,, Fixed Asset, Water Treatment for Powerhouse                               ,Yes - Single Building,072C75PTREAT,unmapped,,,11370.0
11-11 Hazen St.,DOC,2026050040.0,,Bronx,, Fixed Asset, REPLACEMENT OF HEATING SYSTEM AT RNDC BUILDINGS 1-6          ,Yes - Multi-site,072C75RCVER,unmapped,,,11370.0
19-19 Hazen St.,DOC,2026050040.0,,Bronx,, Fixed Asset," RMSC Power Upgrades for buildings 1,2,3,4,5,6 & 7            ",Yes - Multi-site,072C75RMPWR,unmapped,,,11370.0
,DOC,,,,, Fixed Asset, ROOF REPLACEMENT AT ALL RI FACILITIES                        ,No - Can never be mapped,072C75ROOFS,unmapped,,,
,DOC,,,,, Fixed Asset, RECONSTRUCTION OF RI SEWER LINES                             ,No - Can never be mapped,072C75SEWR,unmapped,,,
,DOC,,,,, Fixed Asset, SSD RENOVATIONS OF BATHROOMS AND SHOWERS                     ,No - Can never be mapped,072C75SHOWER,unmapped,,,
,DOC,,,,, Fixed Asset, Replace Storm Water Mains and Outfalls                       ,No - Can never be mapped,072C75STDRN,unmapped,,,
,DOC,,,,, Fixed Asset, Upgrade Steam Lines                                          ,No - Can never be mapped,072C75STEAM,unmapped,,,
,DOC,,,,,"ITT, Vehicles, and Equipment", C111- LAUNDRY REFURBISHMENT- VARIOUS FACILITIES              ,No - Can never be mapped,072C111-LR4,unmapped,,,
,DOHMH,,,,,Fixed Asset,125 WORTH VITAL RECORDS INITIAL OUTFITTING,,816HL82125VF,mapped,,,
,DOHMH,,,,,Lump Sum,AIDS SERVICE CENTER - INITIAL OUTFITTING,Pass-through,850HLDNAIDSS,mapped,,,
,DOHMH,,,,,Lump Sum,AIDS Service Center of NY,Pass-through,850HL82AIDSC,mapped,,,
,DOHMH,,,,,Lump Sum,AIDS SERVICE CENTER OF NYC - INITIAL OUTFITTING,Pass-through,850HLDNAIDSE,mapped,,,
,DOHMH,,,,,,ALBERT EINSTEIN COLLEGE OF MEDICINE,Pass-through,850HL82ALEIN,mapped,,,
,DOHMH,,,,,"ITT, Vehicles, and Equipment",AMERICAN RED CROSS IN GREATER NEW YORK - COMMUNICATION EQUI,Pass-through,850HL99AMRC,mapped,,,
,DOHMH,,,,,,ANIMAL CARE & CONTROL OF NEW YORK CITY,,816HL99ANIC1,mapped,,,
,DOHMH,,,,,"ITT, Vehicles, and Equipment",ANIMAL CARE AND CONTROL OF NYC - NEW XRAY CAPABILITY,,816HL82ACCXR,mapped,,,
,DOHMH,,,,,Lump Sum,APICHA (ASIAN & PACIFIC ISLANDER COALITION ON HIV/AIDS),Pass-through,850HLDNAPICH,mapped,,,
,DOHMH,,,,,Fixed Asset,APICHA COMMUNITY HEALTH CENTER - 133706365-I4055,Pass-through,850HLDNAPCHA,mapped,,,
,DOHMH,,,,,Lump Sum,ASSOC. FOR THE ADVANCEMENT OF THE BLIND & RETARDED,Pass-through,850HL99AABRT,mapped,,,
,DOHMH,,,,,Fixed Asset,BETH ISRAEL KINGS HWY HOSPITAL,Pass-through,850HL82BETH1,mapped,,,
,DOHMH,,,,,Fixed Asset,Bronx Animal Care Center,,816HL82BRONX,mapped,,,
,DOHMH,,,,,"ITT, Vehicles, and Equipment",Brooklyn Detention Center - Equipment,,816HL82DOCE,mapped,,,
,DOHMH,,,,,"ITT, Vehicles, and Equipment",BROOKLYN HOSPITAL - CARDIAC EQUIPMENT,Pass-through,850HL82BKYH,mapped,,,
,DOHMH,,,,,"ITT, Vehicles, and Equipment",BROOKLYN HOSPITAL - RADIOLOGY EQUIPMENT,Pass-through,850HL82BKLYH,mapped,,,
,DOHMH,,,,,Lump Sum,BROWNSVILLE COMMUNITY DEVELOPMENT CORPORATION,Pass-through,850HLBCDC,mapped,,,
,DOHMH,,,,,Fixed Asset,Brownsville Health Center Renovation of interior space,,816HL82BRNHC,mapped,,,
,DOHMH,,,,,Fixed Asset,Bushwick DHC Parking Lot Drainage Upgrade,Pass-through,850HL82BUSHD,mapped,,,
,DOHMH,,,,,Fixed Asset,Bushwick Health Center exterior renovation/interior upgrade,,816HL82BUSHC,mapped,,,
,DOHMH,,,,,,CATHOLIC MANAGED LONG TERM CARE,Pass-through,850HLDNCATHL,mapped,,,
,DOHMH,,,,,Fixed Asset,CENTER FOR ELIMATION OF VIOLENCE - WOMENS SURVIVAL SPACE,Pass-through,850PWDN64CEV,mapped,,,
,DOHMH,,,,,Fixed Asset,Center for the Elimination of Violence Renovations,Pass-through,801HLKNCEV,mapped,,,
,DOHMH,,,,,Fixed Asset,Central Harlem Health Center interior renovation,,816HL82CHRHC,mapped,,,
,DOHMH,,,,,Fixed Asset,CHELSEA HEALTH CENTER INITIAL OUTFITTING,,816HL82CHELF,mapped,,,
,DOHMH,,,,,Fixed Asset,COBBLE HILL HEALTH CENTER - RENOVATE RESIDENTIAL SENIOR HEA,Pass-through,850HL99CHHC,mapped,,,
,DOHMH,,,,,Fixed Asset,COLUMBIA UNIVERSITY Pediatric Dental Clinic,Pass-through,801HL99CUMC,mapped,,,
,DOHMH,,,,,Fixed Asset,COLUMBIA UNIVERSITY Pediatric Dental Clinic,Pass-through,850HLDNCUPDC,mapped,,,
,DOHMH,,,,,"ITT, Vehicles, and Equipment","COMMUNITY HEALTH CARE NETWORK, INC. - MOBILE VAN",Pass-through,850HLDNCOMMU,mapped,,,
,DOHMH,,,,,Fixed Asset,Community Health Project Community Health Project Roof,Pass-through,801HLDNCHPCL,mapped,,,
,DOHMH,,,,,"ITT, Vehicles, and Equipment",Community Health Project IT Systems,Pass-through,850HLDNCHPIT,mapped,,,
,DOHMH,,,,,Lump Sum,"Community Health Project, Inc - I/O",Pass-through,850HLDNCOMUT,mapped,,,
,DOHMH,,,,,"ITT, Vehicles, and Equipment",COMMUNITY HEALTHCARE NETWORK-WASHINGTON HEIGHTS,Pass-through,850HL82CHNWH,mapped,,,
,DOHMH,,,,,,CORNELL UNIVERSITY FOR WEILL CORNELL MEDIICAL COLLEGE,Pass-through,850HLDNCORNL,mapped,,,
,DOHMH,,,,,Fixed Asset,"DOHMH - 135 CANAL STREET, STATEN ISLAND",,816HL82CANL1,mapped,,,
,DOHMH,,,,,Fixed Asset,DOHMH OFFICE RENOVATIONS,,819DOHSITES,mapped,,,
,DOHMH,,,,,Fixed Asset,East Harlem Health Center interior renovation,,816HL82EHRHC,mapped,,,
,DOHMH,,,,,,EAST HARLEM HEALTH HUB,,816HL82EASTH,mapped,,,
,DOHMH,,,,,"ITT, Vehicles, and Equipment",EDEN II - Computers for New Lab,Pass-through,850HLRNEDENC,mapped,,,
,DOHMH,,,,,"ITT, Vehicles, and Equipment",EDEN II - Purchase of Passenger Van,Pass-through,850HLREDNEW1,mapped,,,
,DOHMH,,,,,"ITT, Vehicles, and Equipment",Edwin Gould Service for Children - Electronic Medical Recor,Pass-through,850HLDN22EMR,mapped,,,
,DOHMH,,,,,"ITT, Vehicles, and Equipment",Edwin Gould Services for Children- Electronic Medical Recor,Pass-through,850HLDN24MR2,mapped,,,
,DOHMH,,,,,"ITT, Vehicles, and Equipment",Edwin Gould Services for Children Van Purchase,Pass-through,850HLDNEGVAN,mapped,,,
,DOHMH,,,,,Fixed Asset,EQFN FOR HOSPITAL OF SPECIAL SURGERY,Pass-through,850HL82HSS3,mapped,,,
,DOHMH,,,,,"ITT, Vehicles, and Equipment",FA - Construction of Bed-Stuy Family Health Center,Pass-through,801HL99BEDFC,mapped,,,
,DOHMH,,,,,,FA - Eden II School for Autistic Children 132872916-L4868,Pass-through,801HLEDEN2,mapped,,,
,DOHMH,,,,,"ITT, Vehicles, and Equipment",Financial systems,IT Project,816HL82FINPL,mapped,,,
,DOHMH,,,,,Fixed Asset,FLUSHING HOSPITAL,Pass-through,850HLDNFLUSH,mapped,,,
,DOHMH,,,,,Fixed Asset,FLUSHING HOSPITAL,Pass-through,850HLFLSH,mapped,,,
,DOHMH,,,,,Fixed Asset,FLUSHING HOSPITAL,Pass-through,850HLQNFLUSH,mapped,,,
,DOHMH,,,,,"ITT, Vehicles, and Equipment",FLUSHING HOSPITAL - AMBULANCE PURCHASE,Pass-through,850HLQNFHP02,mapped,,,
,DOHMH,,,,,Fixed Asset,FOREST HILLS HOSPITAL - BRONCHOCOPE,Pass-through,850HL82FRHH,mapped,,,
,DOHMH,,,,,"ITT, Vehicles, and Equipment",FOREST HILLS HOSPITAL - GREEN AMBULANCE,Pass-through,850HLQNHILLV,mapped,,,
,DOHMH,,,,,"ITT, Vehicles, and Equipment",FOREST HILLS HOSPITAL - MEDICAL EQUIPMENT,Pass-through,850HLDN19FHH,mapped,,,
,DOHMH,,,,,"ITT, Vehicles, and Equipment",FOREST HILLS HOSPITAL - REPLACE END OF LIFE EQUIPMENT,Pass-through,850HLQNFORET,mapped,,,
,DOHMH,,,,,"ITT, Vehicles, and Equipment",FOREST HILLS HOSPITAL - STANDALONE EQUIPMENT/SYSTEM,Pass-through,850HLQNHILLS,mapped,,,
,DOHMH,,,,,"ITT, Vehicles, and Equipment",FOREST HILLS HOSPITAL- MEDICAL EQUIPMENT,Pass-through,850HLQNFORES,mapped,,,
,DOHMH,,,,,"ITT, Vehicles, and Equipment",Forrest Hills Hospital - Equipment Purchase,Pass-through,850HLQNFHH05,mapped,,,
,DOHMH,,,,,"ITT, Vehicles, and Equipment",HATZOLAH INCORPORATED - AMBULANCE PURCHASE,Pass-through,850HLDN21AMB,mapped,,,
,DOHMH,,,,,Lump Sum,HATZOLAH INCORPORATED - REPURPOSED FUNDS,Pass-through,850HLDN41REP,mapped,,,
,DOHMH,,,,,Lump Sum,HEALTH INFORMATION INITIATIVE,,816HL82HITIN,mapped,,,
,DOHMH,,,,,"ITT, Vehicles, and Equipment",HIGH TECH PRINTSHOP AT DOHMH - EQFN,,816HL82PRINT,mapped,,,
,DOHMH,,,,,"ITT, Vehicles, and Equipment",HOSPITAL FOR SPECIAL SURGERY - DIGITAL X RAY,Pass-through,850HLDNSPECS,mapped,,,
,DOHMH,,,,,"ITT, Vehicles, and Equipment",HOSPITAL FOR SPECIAL SURGERY -EQUIPMENT,Pass-through,850HL98HSS,mapped,,,
,DOHMH,,,,,"ITT, Vehicles, and Equipment",JAMAICA HOSPITAL - AMBULANCE PURCHASE,Pass-through,850HLDNJHP01,mapped,,,
,DOHMH,,,,,Fixed Asset,JAMAICA HOSPITAL MEDICAL CENTER,Pass-through,850HL82JHMC,mapped,,,
,DOHMH,,,,,"ITT, Vehicles, and Equipment","JBI International, Inc.- Equipment Purchases",Pass-through,850HLDNJBTER,mapped,,,
,DOHMH,,,,,Fixed Asset,Joseph P. Addabo Clinic Expansion,Pass-through,801HLDNADD,mapped,,,
,DOHMH,,,,,,KINGSBROOK JEWISH MED CTR,Pass-through,850HL82KJMC4,mapped,,,
,DOHMH,,,,,"ITT, Vehicles, and Equipment",KINGSBROOK JEWISH MED CTR-REPLACEMENT OF RADIOLOGY EQUIPMEN,Pass-through,850HL82KINGS,mapped,,,
,DOHMH,,,,,"ITT, Vehicles, and Equipment",Kingsbrook Jewish Medical Center - Equipment Purchases,Pass-through,850HLDNKINGS,mapped,,,
,DOHMH,,,,,"ITT, Vehicles, and Equipment",KINGSBROOK JEWISH MEDICAL CENTER: PURCHASE OF ULTRASOUND,Pass-through,850HLKNKJM1,mapped,,,
,DOHMH,,,,,Fixed Asset,KINGSBROOK JEWISH MEDICAL CENTER: SURGICAL TABLE,Pass-through,850HL82KNJSW,mapped,,,
,DOHMH,,,,,"ITT, Vehicles, and Equipment",Lenox Hill Hospital - ENVIRONMENTAL FRIENDLY AMBULANCES,Pass-through,850HLDN63AM3,mapped,,,
,DOHMH,,,,,Lump Sum,"LOWER EASTSIDE SERVICE CENTER, INC - 13-197287-B1651",Pass-through,850HLDNESIDE,mapped,,,
,DOHMH,,,,,Fixed Asset,Lutheran Medical Center,Pass-through,850HL82HLLMC,mapped,,,
,DOHMH,,,,,Fixed Asset,LUTHERAN MEDICAL CENTER,Pass-through,850HLLUTHR,mapped,,,
,DOHMH,,,,,Fixed Asset,LUTHERAN MEDICAL CENTER,Pass-through,850HL82LUTR,mapped,,,
,DOHMH,,,,,Fixed Asset,LUTHERAN MEDICAL CENTER - 111839567-0603,Pass-through,850HLDNLUTHR,mapped,,,
,DOHMH,,,,,"ITT, Vehicles, and Equipment",LUTHERAN MEDICAL CENTER - VEHICLE,Pass-through,850HLDNLUTHE,mapped,,,
,DOHMH,,,,,"ITT, Vehicles, and Equipment",Maimondes Medical Ctr - Diagnostic & Imaging Ultrasound Eqm,Pass-through,850HLDNMAM67,mapped,,,
,DOHMH,,,,,"ITT, Vehicles, and Equipment",MAIMONIDES - HEART & VASCULAR MONITORS,Pass-through,850HLDNMAIMD,mapped,,,
,DOHMH,,,,,Fixed Asset,MAIMONIDES MEDICAL CENTER,Pass-through,850HL82MAIMC,mapped,,,
,DOHMH,,,,,Fixed Asset,MAIMONIDES MEDICAL CENTER,Pass-through,850HLDNMAIMO,mapped,,,
,DOHMH,,,,,"ITT, Vehicles, and Equipment",MAIMONIDES MEDICAL CENTER - CANCER CENTER EQUIPMENT,Pass-through,850HLKNMAIMM,mapped,,,
,DOHMH,,,,,"ITT, Vehicles, and Equipment",Maimonides Medical Center - Equipment Purchases,Pass-through,850HLDNCENTE,mapped,,,
,DOHMH,,,,,"ITT, Vehicles, and Equipment",MAIMONIDES MEDICAL CENTER - HEART & VASCULAR MONITORS,Pass-through,850HLDNMAIMS,mapped,,,
,DOHMH,,,,,"ITT, Vehicles, and Equipment",MAIMONIDES MEDICAL CENTER - MRI PURCHASE,Pass-through,850HLKNMAIMO,mapped,,,
,DOHMH,,,,,"ITT, Vehicles, and Equipment",MAIMONIDES MEDICAL CENTER: PURCHASE AMBULANCES,Pass-through,850HL82MIDES,mapped,,,
,DOHMH,,,,,"ITT, Vehicles, and Equipment",MAIMONIDES MEDICAL CENTER: PURCHASE OF 4 HILL ROM SPORT BED,Pass-through,850HLKNMAIMC,mapped,,,
,DOHMH,,,,,"ITT, Vehicles, and Equipment",MAIMONIDES MEDICAL CENTER: PURCHASE OF AMBULANCES,Pass-through,850HLKNMAIMD,mapped,,,
,DOHMH,,,,,"ITT, Vehicles, and Equipment",MAIMONIDES MEDICAL CENTER: PURCHASE OF ULTRASOUND,Pass-through,850HLKNMAMC,mapped,,,
,DOHMH,,,,,"ITT, Vehicles, and Equipment",Maimonides Medical Ctr - Ultrasound System Upgrades,Pass-through,850HLDNMAM44,mapped,,,
,DOHMH,,,,,Fixed Asset,Manhattan Animal Care Center Upgrade,Pass-through,850HL82MANAT,mapped,,,
,DOHMH,,,,,"ITT, Vehicles, and Equipment",MEDICARE RIGHTS CENTER - TECHNOLOGY,Pass-through,850HLDNVITAL,mapped,,,
,DOHMH,,,,,"ITT, Vehicles, and Equipment",Montefiore Hospital - Computer Work Stations for Family HC,Pass-through,850HL82FHCWS,mapped,,,
,DOHMH,,,,,"ITT, Vehicles, and Equipment",Montefiore Hospital - WIRELESS TELECOM SYSTEM FOR FAMILY HC,Pass-through,850HL82FHCMF,mapped,,,
,DOHMH,,,,,Fixed Asset,Morris Heights Health Center,Pass-through,801HL82MORR,mapped,,,
,DOHMH,,,,,Fixed Asset,Morrisania Health Center interior renovation,,816HL82MORHC,mapped,,,
,DOHMH,,,,,Fixed Asset,MOUNT SINAI ADOLESCENT HEALTH CENTER,Pass-through,850HL82SINDC,mapped,,,
,DOHMH,,,,,"ITT, Vehicles, and Equipment",MOUNT SINAI HOSPITAL - ENDOSCOPIC ULTRASOUND UNIT,Pass-through,850HLDNMTS59,mapped,,,
,DOHMH,,,,,"ITT, Vehicles, and Equipment",Mount Sinai Hospital - Purchase of Nuclear Medicine Eqmt,Pass-through,850HLQNMTS03,mapped,,,
,DOHMH,,,,,Fixed Asset,MOUNT SINAI HOSPITAL - RENOVATION,Pass-through,850HL82SINAM,mapped,,,
,DOHMH,,,,,"ITT, Vehicles, and Equipment",MOUNT SINAI HOSPITAL - ULTRAVIOLET DISINFECTION UNITS,Pass-through,850HLDNMTS03,mapped,,,
,DOHMH,,,,,"ITT, Vehicles, and Equipment",MT SINAI HOSPITAL - SONOGRAM AND MRI,Pass-through,850HLDNSINAH,mapped,,,
,DOHMH,,,,,,NEW ALTERNATIVES FOR CHILDREN,Pass-through,850HL82NACH,mapped,,,
,DOHMH,,,,,,NEW YORK ACADEMY OF MEDICINE,Pass-through,801HLNYACADM,mapped,,,
,DOHMH,,,,,Fixed Asset,New York Academy of Medicine- Boiler,Pass-through,850HL82NYAM3,mapped,,,
,DOHMH,,,,,Fixed Asset,NEW YORK AND PRESBYTERIAN HOSPITAL - 133957095-A1224,Pass-through,850HLDNYORKK,mapped,,,
,DOHMH,,,,,"ITT, Vehicles, and Equipment",NEW YORK BLOOD CENTER - CLINICAL FLOW CYTOMETER,Pass-through,850HLDNBLD12,mapped,,,
,DOHMH,,,,,"ITT, Vehicles, and Equipment",NEW YORK BLOOD CENTER - IMAGING FLOW CYTOMETER,Pass-through,850HLDNBLOOD,mapped,,,
,DOHMH,,,,,"ITT, Vehicles, and Equipment",NEW YORK BLOOD CENTER - PURCHASE OF A MACHINE,Pass-through,850HLQNBLOOD,mapped,,,
,DOHMH,,,,,"ITT, Vehicles, and Equipment",NEW YORK BLOOD CENTER - TESTING MACHINES,Pass-through,850HLDNBLOOO,mapped,,,
,DOHMH,,,,,"ITT, Vehicles, and Equipment",New York Blood Center -Vans and blood drive equipment,Pass-through,850HLNYBC,mapped,,,
,DOHMH,,,,,Lump Sum,NEW YORK BLOOD CENTER: DONOR COACH FOR NYC BLOOD DRIVES,Pass-through,850HLKNNYBC,mapped,,,
,DOHMH,,,,,Fixed Asset,New York Families for Autistic Children Renovation,Pass-through,801HLDNNYAC,mapped,,,
,DOHMH,,,,,Fixed Asset,NEW YORK FAMILIES FOR AUTISTIC CHILDREN: BUILDING RENOVATIO,Pass-through,801HLQNNYFAU,mapped,,,
,DOHMH,,,,,Fixed Asset,NEW YORK HOSPITAL QUEENS,Pass-through,850HL99NYHQ,mapped,,,
,DOHMH,,,,,Fixed Asset,NEW YORK METHODIST HOSPITAL,Pass-through,850HL82NYMH1,mapped,,,
,DOHMH,,,,,Fixed Asset,NEW YORK METHODIST HOSPITAL,Pass-through,850HL82NYMHR,mapped,,,
,DOHMH,,,,,"ITT, Vehicles, and Equipment",New York Methodist Hospital - CT Scanner,Pass-through,850HLNYMH,mapped,,,
,DOHMH,,,,,"ITT, Vehicles, and Equipment",NEW YORK METHODIST HOSPITAL - DIGITAL WIRELESS IMAGING SYS,Pass-through,850HLDNNYM40,mapped,,,
,DOHMH,,,,,Fixed Asset,NEW YORK PRESBYTERIAN HOSPITAL,Pass-through,850HLMNYORKK,mapped,,,
,DOHMH,,,,,"ITT, Vehicles, and Equipment",NEW YORK PRESBYTERIAN HOSPITAL - NICU bed systems,Pass-through,850HLNYPH,mapped,,,
,DOHMH,,,,,Fixed Asset,New York Presbyterian Hospital Improving Patient Experience,Pass-through,850HLPRESPAX,mapped,,,
,DOHMH,,,,,Fixed Asset,NEW YORK UNIVERSITY HOSPITAL CENTER,Pass-through,850HL99NYUDC,mapped,,,
,DOHMH,,,,,,NEW YORK UNIVERSITY SCHOOL OF DENTISTRY,Pass-through,850HLDN90NYU,mapped,,,
,DOHMH,,,,,"ITT, Vehicles, and Equipment","NY BLOOD CENTER, INC - 2 BLOOD ANALYZING MACHINES",Pass-through,850HLDNBLD56,mapped,,,
,DOHMH,,,,,,NY FAMILIES FOR AUTISTIC CHILDREN,Pass-through,801HL99AUTSM,mapped,,,
,DOHMH,,,,,"ITT, Vehicles, and Equipment",NY METHODIST HOSP. - DIGITAL WIRELESS IMAGING SYS RADIOLOGY,Pass-through,850HLDNNYM20,mapped,,,
,DOHMH,,,,,"ITT, Vehicles, and Equipment",NY METHODIST HOSPITAL: DIGITAL WIRELESS IMAGING SYSTEM NY,Pass-through,850HLKNNYMHS,mapped,,,
,DOHMH,,,,,"ITT, Vehicles, and Equipment",NYC Med Portal & Registration Equipment,,816HL82NYMED,mapped,,,
,DOHMH,,,,,"ITT, Vehicles, and Equipment",NYU COLLEGE OF DENTISTRY - PURCHASE DENTAL EQUIPMENT,Pass-through,850HL82NYUD,mapped,,,
,DOHMH,,,,,"ITT, Vehicles, and Equipment",NYU HOSPITAL CENTER - THE RUSK INSTITUTE - EQUIPMENT,Pass-through,850HL99NYURI,mapped,,,
,DOHMH,,,,,"ITT, Vehicles, and Equipment",NYU SCHOOL OF MEDICINE - DNA SEQUENCERS FOR MS RESEARCH,Pass-through,850HLDNNYUCH,mapped,,,
,DOHMH,,,,,"ITT, Vehicles, and Equipment",OCME - Agency-wide Various Equipment,,816HL82A003A,mapped,,,
,DOHMH,,,,,"ITT, Vehicles, and Equipment",OCME - City Council Fund for Toxicology Equipment,,816CCTOXICOL,mapped,,,
,DOHMH,,,,,Fixed Asset,OCME - New Medical Examiner Facility,,816HL82OCMEX,mapped,,,
,DOHMH,,,,,"ITT, Vehicles, and Equipment",OCME - Purchase of IT Equipment & Services Lump Sum,,816CMEIT,mapped,,,
,DOHMH,,,,,Fixed Asset,OCME - Queens Annex Phase,,816CMEQANNEX,mapped,,,
,DOHMH,,,,,Fixed Asset,OCME - Replace Queens Water Heater System,,816CMEQHEAT,mapped,,,
,DOHMH,,,,,"ITT, Vehicles, and Equipment",ODA PRIMARY HEALTH CARE NETWORK - PEDIATRIC EQUIPMENT,Pass-through,850HLDNPCARE,mapped,,,
,DOHMH,,,,,"ITT, Vehicles, and Equipment",ODA PRIMARY HEALTH CARE NETWORK - VEHICLES,Pass-through,850HLDNHCARE,mapped,,,
,DOHMH,,,,,"ITT, Vehicles, and Equipment",PC REPLACEMENT & NOVELL SOFTWARE,IT Project,816HL82PCREP,mapped,,,
,DOHMH,,,,,"ITT, Vehicles, and Equipment",PLANNED PARENTHOOD OF NEW YORK CITY - EQUIP. PURCHASE,Pass-through,850HLMNPAREN,mapped,,,
,DOHMH,,,,,"ITT, Vehicles, and Equipment",PLANNED PARENTHOOD OF NEW YORK CITY - FURNITURE,Pass-through,850HLQNPLANN,mapped,,,
,DOHMH,,,,,Fixed Asset,PLANNED PARENTHOOD OF NEW YORK CITY - OUTFITTING,Pass-through,850HLDNPLAND,mapped,,,
,DOHMH,,,,,Lump Sum,PLANNED PARENTHOOD OF NYC,Pass-through,850HL82PPNY2,mapped,,,
,DOHMH,,,,,"ITT, Vehicles, and Equipment",PLANNED PARENTHOOD OF NYC - UPGRADE TO PHONE SYSTEM,Pass-through,850HLMNPHOOD,mapped,,,
,DOHMH,,,,,,PRIMARY CARE HEALTH INFORMATION CONS,,816HLPCHI,mapped,,,
,DOHMH,,,,,Lump Sum,PRIMARY CARE INTITIATIVE,,816HLPCI1,mapped,,,
,DOHMH,,,,,Lump Sum,PROJECT RENEWAL,Pass-through,850HL82PCRHL,mapped,,,
,DOHMH,,,,,"ITT, Vehicles, and Equipment",PUBLIC HEALTH LABS EQUIPMENT,,816HL82PHLEQ,mapped,,,
,DOHMH,,,,,,Public Health Solutions,Pass-through,801HLPUBHEAL,mapped,,,
,DOHMH,,,,,,PUBLIC HEALTH SOLUTIONS - FORT GREENE MIC I/O,Pass-through,850HLDN68FTG,mapped,,,
,DOHMH,,,,,"ITT, Vehicles, and Equipment",PURCHASE EQUIPMENT FOR HOSP FOR JOINT DISEASE INFRASTRUC,Pass-through - not 816,816HL82HJD,mapped,,,
,DOHMH,,,,,Fixed Asset,Queens Animal Shelter,,816HL82QUEEN,mapped,,,
,DOHMH,,,,,"ITT, Vehicles, and Equipment",RICHMOND MEDICAL CENTER - EQUIPMENT,Pass-through,850HLRNRICHM,mapped,,,
,DOHMH,,,,,"ITT, Vehicles, and Equipment",Richmond Medical Center - Equipment Purchases,Pass-through,850HLDNRICHN,mapped,,,
